State,All_Sectors,Commercial,Industrial,Residential
Texas,399793.69839,145936.65071,97878.726,155910.51711000002
California,294405.57514,138568.89022,51633.831920000004,103450.50272
Florida,244203.20641,100278.15409,18105.41444,125720.1788
New York,165793.85118,87900.59638,14521.8303,60116.07754
Ohio,162428.4683,51211.72758,52966.9724,58202.80296
Pennsylvania,160283.50693,47139.56386,51257.64635,60988.39316
Illinois,152866.85881,55044.49748,45938.3606,51279.66483
Georgia,144213.91548,50499.26984,33144.53813,60401.056540000005
North Carolina,141560.68715,50905.094209999996,28497.29233,62150.30751
Virginia,119952.27659,51607.29123,18096.99138,50037.492730000005
Michigan,114003.43726,42050.87357,32994.78839,38951.004680000005
Indiana,112377.09917,26704.47011,48995.47149,36653.84015
Tennessee,104893.84328,36891.78901,23132.81057,44867.25792
Washington,99550.33058000001,31702.05261,28878.6343,38963.73157
Alabama,96099.27105,24824.10207,36298.914170000004,34976.2548
Louisiana,92456.9022,26452.239990000002,32630.20062,33362.04618
Missouri,89779.08774,33628.56858,17600.79572,38526.19614
Kentucky,89697.12938,22454.432449999997,38103.51048,29139.186449999997
South Carolina,86113.4558,23268.280260000003,30379.75002,32465.425479999998
New Jersey,84597.94593,43040.126820000005,8171.46712,33032.80161
Arizona,83380.307,32907.79365,13443.432350000001,37029.081000000006
Wisconsin,76080.26241,25862.356630000002,25127.32742,25090.57839
Minnesota,73807.15194,24769.22415,23742.52465,25274.43139
Maryland,69132.49941,33371.32483,4251.57069,30922.78361
Oklahoma,63697.28967,21156.0161,17203.549610000002,25337.724
Massachusetts,62395.08094,20110.60443,18169.036659999998,23725.51573
Colorado,59148.76831,21699.23817,16607.86733,20773.49415
Mississippi,53246.82914,15087.98641,17741.686279999998,20417.15649
Oregon,51292.11974,17355.02775,12631.391599999999,21281.23163
Arkansas,50328.65463,12840.09332,17692.37127,19795.792510000003
Iowa,50264.18185,13420.95915,20762.34274,16080.88001
Kansas,43488.15713,16959.1822,11412.41984,15116.55515
Nevada,38303.406970000004,10144.701239999999,14571.40453,13578.324190000001
Connecticut,34362.52561,14936.39307,3822.42469,15394.638340000001
West Virginia,33874.06798,8427.99267,12763.84677,12677.901010000001
Utah,32815.51221,11788.49704,10641.37882,10325.746589999999
Nebraska,32631.146090000002,10186.8694,11378.33862,11065.93807
Idaho,25818.32576,6540.92296,9868.39993,9409.00286
New Mexico,25324.49481,9876.59171,7843.7170399999995,7604.18609
Wyoming,18353.408959999997,4407.28297,10819.30877,3126.81724
North Dakota,17010.035939999998,5940.63368,5578.44394,5490.95828
Montana,15192.638949999999,5350.86185,4399.73902,5442.03809
Maine,13246.73415,4578.48836,3341.40135,5326.84447
South Dakota,13105.72862,5061.67639,2797.29165,5246.76058
Hawaii,12661.52994,4382.57737,4705.305420000001,3573.64721
New Hampshire,12566.818309999999,5111.4902600000005,2182.98623,5272.34188
Delaware,12467.528180000001,4596.79328,2720.5380600000003,5150.19689
District of Columbia,12399.5043,9513.045950000002,240.77363,2289.14055
Rhode Island,8869.02399,4145.32222,1036.4271999999999,3657.31165
Alaska,7295.4522400000005,3263.09113,1543.9041,2488.45702
Vermont,6366.8157,2324.21872,1567.06029,2475.53672